bound bx,[si]|6667621c
bound bx,[di]|6667621d
bound bx,[bp]|6667625e00
bound bx,[0x0]|66621d00000000
bound bx,[ebx]|66621b
bound bx,[esi]|66621e
bound bx,[edi]|66621f
bound bx,[ebp]|66625d00
bound bx,[esp]|66621c24
bound cx,[bx]|6667620f
bound cx,[si]|6667620c
bound cx,[di]|6667620d
bound cx,[bp]|6667624e00
bound cx,[0x0]|66620d00000000
bound cx,[ebx]|66620b
bound cx,[esi]|66620e
bound cx,[edi]|66620f
bound cx,[ebp]|66624d00
bound cx,[esp]|66620c24
bound dx,[bx]|66676217
bound dx,[si]|66676214
bound dx,[di]|66676215
bound dx,[bp]|6667625600
bound dx,[0x0]|66621500000000
bound dx,[ebx]|666213
bound dx,[esi]|666216
bound dx,[edi]|666217
bound dx,[ebp]|66625500
bound dx,[esp]|66621424
bound si,[bx]|66676237
bound si,[si]|66676234
bound si,[di]|66676235
bound si,[bp]|6667627600
bound si,[0x0]|66623500000000
bound si,[ebx]|666233
bound si,[esi]|666236
bound si,[edi]|666237
bound si,[ebp]|66627500
bound si,[esp]|66623424
bound di,[bx]|6667623f
bound di,[si]|6667623c
bound di,[di]|6667623d
bound di,[bp]|6667627e00
bound di,[0x0]|66623d00000000
bound di,[ebx]|66623b
bound di,[esi]|66623e
bound di,[edi]|66623f
bound di,[ebp]|66627d00
bound di,[esp]|66623c24
bound sp,[bx]|66676227
bound sp,[si]|66676224
bound sp,[di]|66676225
bound sp,[bp]|6667626600
bound sp,[0x0]|66622500000000
bound sp,[ebx]|666223
bound sp,[esi]|666226
bound sp,[edi]|666227
bound sp,[ebp]|66626500
bound sp,[esp]|66622424
bound bp,[bx]|6667622f
bound bp,[si]|6667622c
bound bp,[di]|6667622d
bound bp,[bp]|6667626e00
bound bp,[0x0]|66622d00000000
bound bp,[ebx]|66622b
bound bp,[esi]|66622e
bound bp,[edi]|66622f
bound bp,[ebp]|66626d00
bound bp,[esp]|66622c24
bound eax,[bx]|676207
bound eax,[si]|676204
bound eax,[di]|676205
bound eax,[bp]|67624600
bound eax,[0x0]|620500000000
bound eax,[ebx]|6203
bound eax,[esi]|6206
bound eax,[edi]|6207
bound eax,[ebp]|624500
bound eax,[esp]|620424
bound ebx,[bx]|67621f
bound ebx,[si]|67621c
bound ebx,[di]|67621d
bound ebx,[bp]|67625e00
bound ebx,[0x0]|621d00000000
bound ebx,[ebx]|621b
bound ebx,[esi]|621e
bound ebx,[edi]|621f
bound ebx,[ebp]|625d00
bound ebx,[esp]|621c24
